=== CONDUCTOR PLAN PROGRESSION (120k→800k session, 70k budget, my-customize-conductor) ===
Each line: plan #N: X folds, Y groups
Stable group count (1) = one rollover group replayed per turn
Growing fold count = new blocks folded as context grows
No restores = frozen prefix respected (the fix)

Accordion connected (1 attached)
plan #446: 0 folds, 1 groups (logged, not applied)
plan #447: 0 folds, 1 groups (logged, not applied)
plan #448: 0 folds, 1 groups (logged, not applied)
plan #449: 0 folds, 1 groups (logged, not applied)
plan #450: 0 folds, 1 groups (logged, not applied)
plan #451: 0 folds, 1 groups (logged, not applied)
plan #452: 0 folds, 1 groups (logged, not applied)
plan #453: 1 folds, 1 groups (logged, not applied)
plan #454: 2 folds, 1 groups (logged, not applied)
plan #455: 2 folds, 1 groups (logged, not applied)
plan #456: 2 folds, 1 groups (logged, not applied)
plan #457: 2 folds, 1 groups (logged, not applied)
plan #458: 2 folds, 1 groups (logged, not applied)
plan #459: 2 folds, 1 groups (logged, not applied)
plan #460: 2 folds, 1 groups (logged, not applied)
plan #461: 2 folds, 1 groups (logged, not applied)
plan #462: 2 folds, 1 groups (logged, not applied)
plan #463: 2 folds, 1 groups (logged, not applied)
plan #464: 2 folds, 1 groups (logged, not applied)
plan #465: 2 folds, 1 groups (logged, not applied)
plan #466: 2 folds, 1 groups (logged, not applied)
plan #467: 2 folds, 1 groups (logged, not applied)
plan #468: 2 folds, 1 groups (logged, not applied)
plan #469: 2 folds, 1 groups (logged, not applied)
plan #470: 3 folds, 1 groups (logged, not applied)
plan #471: 3 folds, 1 groups (logged, not applied)
plan #472: 3 folds, 1 groups (logged, not applied)
plan #473: 3 folds, 1 groups (logged, not applied)
plan #474: 3 folds, 1 groups (logged, not applied)
plan #475: 4 folds, 1 groups (logged, not applied)
plan #476: 4 folds, 1 groups (logged, not applied)
plan #477: 4 folds, 1 groups (logged, not applied)
plan #478: 4 folds, 1 groups (logged, not applied)
plan #479: 4 folds, 1 groups (logged, not applied)
plan #480: 4 folds, 1 groups (logged, not applied)
plan #481: 4 folds, 1 groups (logged, not applied)
plan #482: 4 folds, 1 groups (logged, not applied)
plan #483: 4 folds, 1 groups (logged, not applied)
plan #484: 4 folds, 1 groups (logged, not applied)
plan #485: 4 folds, 1 groups (logged, not applied)
plan #486: 5 folds, 1 groups (logged, not applied)
plan #487: 5 folds, 1 groups (logged, not applied)
plan #488: 5 folds, 1 groups (logged, not applied)
plan #489: 5 folds, 1 groups (logged, not applied)
plan #490: 5 folds, 1 groups (logged, not applied)
plan #491: 5 folds, 1 groups (logged, not applied)
plan #492: 5 folds, 1 groups (logged, not applied)
plan #493: 5 folds, 1 groups (logged, not applied)
plan #494: 5 folds, 1 groups (logged, not applied)
plan #495: 5 folds, 1 groups (logged, not applied)
plan #496: 5 folds, 1 groups (logged, not applied)
plan #497: 5 folds, 1 groups (logged, not applied)
plan #498: 6 folds, 1 groups (logged, not applied)
plan #499: 6 folds, 1 groups (logged, not applied)
plan #500: 6 folds, 1 groups (logged, not applied)
plan #501: 6 folds, 1 groups (logged, not applied)
plan #502: 6 folds, 1 groups (logged, not applied)
plan #503: 6 folds, 1 groups (logged, not applied)
plan #504: 6 folds, 1 groups (logged, not applied)
plan #505: 6 folds, 1 groups (logged, not applied)
plan #506: 6 folds, 1 groups (logged, not applied)
plan #507: 6 folds, 1 groups (logged, not applied)
plan #508: 6 folds, 1 groups (logged, not applied)
plan #509: 6 folds, 1 groups (logged, not applied)
plan #510: 6 folds, 1 groups (logged, not applied)
plan #511: 7 folds, 1 groups (logged, not applied)
plan #512: 7 folds, 1 groups (logged, not applied)
plan #513: 7 folds, 1 groups (logged, not applied)
plan #514: 7 folds, 1 groups (logged, not applied)
plan #515: 7 folds, 1 groups (logged, not applied)
plan #516: 7 folds, 1 groups (logged, not applied)
plan #517: 8 folds, 1 groups (logged, not applied)
plan #518: 8 folds, 1 groups (logged, not applied)
plan #519: 8 folds, 1 groups (logged, not applied)
plan #520: 8 folds, 1 groups (logged, not applied)
plan #521: 8 folds, 1 groups (logged, not applied)
plan #522: 8 folds, 1 groups (logged, not applied)
plan #523: 8 folds, 1 groups (logged, not applied)
plan #524: 9 folds, 1 groups (logged, not applied)
plan #525: 9 folds, 1 groups (logged, not applied)
plan #526: 10 folds, 1 groups (logged, not applied)
plan #527: 10 folds, 1 groups (logged, not applied)
plan #528: 10 folds, 1 groups (logged, not applied)
plan #529: 11 folds, 1 groups (logged, not applied)
plan #530: 11 folds, 1 groups (logged, not applied)
plan #531: 11 folds, 1 groups (logged, not applied)
plan #532: 11 folds, 1 groups (logged, not applied)
plan #533: 12 folds, 1 groups (logged, not applied)
plan #534: 12 folds, 1 groups (logged, not applied)
plan #535: 12 folds, 1 groups (logged, not applied)
plan #536: 12 folds, 1 groups (logged, not applied)
plan #537: 12 folds, 1 groups (logged, not applied)
plan #538: 12 folds, 1 groups (logged, not applied)
plan #539: 12 folds, 1 groups (logged, not applied)
plan #540: 12 folds, 1 groups (logged, not applied)
plan #541: 12 folds, 1 groups (logged, not applied)
plan #542: 12 folds, 1 groups (logged, not applied)
plan #543: 13 folds, 1 groups (logged, not applied)
plan #544: 13 folds, 1 groups (logged, not applied)
plan #545: 14 folds, 1 groups (logged, not applied)
plan #546: 14 folds, 1 groups (logged, not applied)
plan #547: 15 folds, 1 groups (logged, not applied)
plan #548: 15 folds, 1 groups (logged, not applied)
plan #549: 15 folds, 1 groups (logged, not applied)
plan #550: 15 folds, 1 groups (logged, not applied)
plan #551: 15 folds, 1 groups (logged, not applied)
plan #552: 15 folds, 1 groups (logged, not applied)
plan #553: 15 folds, 1 groups (logged, not applied)
plan #554: 15 folds, 1 groups (logged, not applied)
plan #555: 15 folds, 1 groups (logged, not applied)
plan #556: 15 folds, 1 groups (logged, not applied)
plan #557: 15 folds, 1 groups (logged, not applied)
plan #558: 15 folds, 1 groups (logged, not applied)
plan #559: 15 folds, 1 groups (logged, not applied)
plan #560: 16 folds, 1 groups (logged, not applied)
plan #561: 16 folds, 1 groups (logged, not applied)
plan #562: 16 folds, 1 groups (logged, not applied)
plan #563: 16 folds, 1 groups (logged, not applied)
plan #564: 16 folds, 1 groups (logged, not applied)
plan #565: 16 folds, 1 groups (logged, not applied)
plan #566: 16 folds, 1 groups (logged, not applied)
plan #567: 16 folds, 1 groups (logged, not applied)
plan #568: 17 folds, 1 groups (logged, not applied)
plan #569: 17 folds, 1 groups (logged, not applied)
plan #570: 17 folds, 1 groups (logged, not applied)
plan #571: 17 folds, 1 groups (logged, not applied)
plan #572: 17 folds, 1 groups (logged, not applied)
plan #573: 18 folds, 1 groups (logged, not applied)
plan #574: 18 folds, 1 groups (logged, not applied)
plan #575: 18 folds, 1 groups (logged, not applied)
plan #576: 18 folds, 1 groups (logged, not applied)
plan #577: 18 folds, 1 groups (logged, not applied)
plan #578: 18 folds, 1 groups (logged, not applied)
plan #579: 18 folds, 1 groups (logged, not applied)
plan #580: 19 folds, 1 groups (logged, not applied)
plan #581: 19 folds, 1 groups (logged, not applied)
plan #582: 19 folds, 1 groups (logged, not applied)
plan #583: 19 folds, 1 groups (logged, not applied)
plan #584: 19 folds, 1 groups (logged, not applied)
plan #585: 19 folds, 1 groups (logged, not applied)
plan #586: 19 folds, 1 groups (logged, not applied)
plan #587: 19 folds, 1 groups (logged, not applied)
plan #588: 20 folds, 1 groups (logged, not applied)
plan #589: 20 folds, 1 groups (logged, not applied)
